brand,model,year,kilometer,fuel,engine,transmission,price
Mercedes, 200 A Classe Sport,2021,165000km,Diesel,200 d FL 136ch,Automatique, 565.0000 DA 
Citroen,Berlingo Multispace,2018,150000km,Diesel,1.6 ess 110ch,Manuelle, 365.0000 DA 
Hyundai,facelift i20,2018,195km,Diesel,1.4 CRDI 75ch,Manuelle, 242.0000 DA 
Renault,Symbol,2011,505000km,GPL,1.4 ess 75ch,Manuelle, 180.0000 DA 
Seat,FR15 Leon,2018,91000km,Diesel,2.0 TDI 143ch,Manuelle, 12.0000 DA 
Renault,Kadjar Zen,2021,120000km,Essence,1.4,Automatique, 100.0000 DA 
Chery,4 Confort Tiggo pro,2024,,,,, 333.0000 DA 
Geely,GX3 Gx3,2024,,,,, 310.0000 DA 
Hyundai,i20,2019,88100km,Diesel,1.4 CRDI 75ch,Manuelle, 290.0000 DA 
Volkswagen,Life Polo,2014,174km,Essence,1.4 ess 85ch,Manuelle, 90.0000 DA 
Chery,QQ,2016,244000km,Essence,0.8 ess 38ch,Manuelle, 89.0000 DA 
Renault,4 Clio,2013,260000km,Diesel,1.5 DCI 85ch,Manuelle, 111.0000 DA 
Peugeot,Partner,2013,203300km,Diesel,1.6 HDI 90ch,Manuelle, 100.0000 DA 
Hyundai,Creta Gls gls,2018,,,,, 390.0000 DA 
Kia,Picanto Safety,2015,50000km,Essence,1.2 ess CVVT 87ch,Manuelle, 275.0000 DA 
Volkswagen,7 Golf R line,2016,158000km,Diesel,2.0 TDI 143ch DSG,Automatique, 123.0000 DA 
Kia,Premium Sorento,2011,,,,, 370.0000 DA 
Volkswagen,7 Golf,2017,150000km,Diesel,2.0 TDi 143ch,Manuelle, 420.0000 DA 
Changan,CX20,2014,207500km,Essence,1.3 ess 86ch,Manuelle, 107.0000 DA 
Hyundai,i30,2009,348000km,Diesel,1.6 CRDI 115ch,Manuelle, 125.0000 DA 
Peugeot,308 Active,2016,276km,Diesel,1.6 HDI 92ch,Manuelle, 215.0000 DA 
Volkswagen,Business Caddy Line,2019,143000km,Diesel,1.6 ess 102ch,Manuelle, 325.0000 DA 
Renault,Kangoo Privilege plus,2017,310000km,Diesel,1.5 DCI 110ch,Manuelle, 315.0000 DA 
Peugeot,308 GT,2023,,,,, 123.0000 DA 
Geely,2 Cross GL MK,2013,223km,Essence,1.5 ess 69ch,Manuelle, 85.0000 DA 
Jeep,4x4 Willys,1977,12345km,Essence,2,Manuelle, 210.0000 DA 
DFSK,Tole Tout op,2024,,,,, 187.0000 DA 
DFSK,A/C Contenair,2024,,,,, 187.0000 DA 
DFSK,1.5 C35 Tole,2024,,,,, 212.0000 DA 
DFSK,Pick-up Tout cabine double op,2024,,,,, 392.0000 DA 
Kia,5 Rio portes,2014,1820000km,Essence,1.4 ess 107ch BVA,Manuelle, 218.0000 DA 
