brand,model,year,kilometer,fuel,engine,transmission,price
Renault,5,1984.0,,Essence,Gtl,Manuelle, 27.0000 DA 
Renault, 5 Renault,1980.0,000km,Essence,1.1 ess 45ch,Manuelle, 27.0000 DA 
Seat, Leon,2014.0,290000km,Diesel,,Manuelle, 27.0000 DA 
Renault, Express,1986.0,,,,, 27.0000 DA 
Peugeot, 205 405 bx,1993.0,,,,, 27.0000 DA 
Daewoo, Nubira,1998.0,1111km,Essence,1.6 ess 106ch,Manuelle, 28.0000 DA 
Peugeot, 2 309 portes,1991.0,700000km,Diesel,xud 1.8 diesel,Manuelle, 28.0000 DA 
Yamaha, Stunt,2009.0,,,,, 28.0000 DA 
Volkswagen, 2 Golf,1987.0,1111km,Diesel,1.9 simple,Manuelle, 28.0000 DA 
Seat, Leon fr,2014.0,,,,, 28.0000 DA 
Renault,19,1993.0,000000km,Diesel,1.9 DT 93ch,Manuelle, 28.0000 DA 
Daewoo, Nubira,1999.0,500000km,Essence,,Manuelle, 28.0000 DA 
Volkswagen, Amazoun,1988.0,44444km,Essence,1.8 90,Manuelle, 28.0000 DA 
Seat, Marbella,1997.0,0000km,Essence,0.9 ess 42ch,Manuelle, 28.0000 DA 
Peugeot,205,1987.0,,Essence,1.1 ess 50ch,Manuelle, 28.0000 DA 
Lada,1989  GT Lada TDI,2107.0,11111111km,Essence,,Manuelle, 28.0000 DA 
Aston, Martin,1985.0,86595km,Essence,76,Manuelle, 28.0000 DA 
Volkswagen, Tiguan TrendLine,2009.0,380km,Diesel,2.0 TDI 140ch,Automatique, 28.0000 DA 
Fiat, Uno,1986.0,00km,GPL,75,Manuelle, 28.0000 DA 
Faw, n3,2007.0,1111111km,Essence,1.1,Manuelle, 28.0000 DA 
Lada, Samara,1987.0,0km,Essence,1.3 ess 65ch,Manuelle, 28.0000 DA 
Honda, Concerto,1992.0,320000000km,Essence,1.6 ess 122ch,Manuelle, 28.0000 DA 
Citroen, Saxo,1996.0,333333km,Diesel,1.5,Manuelle, 28.0000 DA 
Fiat, Uno,1988.0,58000km,Essence,75ch,Manuelle, 28.0000 DA 
Daewoo, Nubira,1998.0,1112km,GPL,1,, 28.0000 DA 
Daewoo, Racer,1997.0,,,,Manuelle, 28.0000 DA 
Hyundai, Accent,1998.0,6532km,GPL,1.3,Manuelle, 28.0000 DA 
Renault, Express,1998.0,,Diesel,Diesel 1.9 dci,Manuelle, 28.0000 DA 
Renault,5,1984.0,9999999km,Essence,,, 28.0000 DA 
Fiat, Panda,1993.0,0km,Essence,1.0 ess 45ch,Manuelle, 28.0000 DA 
Peugeot, 206 La Plus route,2010.0,290km,Essence,1.4 ess 75ch,Manuelle, 28.0000 DA 
Peugeot,404,1978.0,,,,, 28.0000 DA 
Hafei, Yavuz motors,2005.0,,,,, 28.0000 DA 
Volkswagen, Passat,1992.0,,,,, 28.0000 DA 
Peugeot,309,1989.0,,,,, 28.0000 DA 
Renault,1  Clio,1995.0,,,,, 28.0000 DA 
Daewoo, Laganza,2000.0,,,,, 28.0000 DA 
Skoda, Ambition Fabia,2019.0,176000km,Essence,1.6 MPI 90ch,Manuelle, 29.0000 DA 
Chana, Sando9,2009.0,,,,, 29.0000 DA 
Renault,1  Clio,1998.0,,Diesel,1.9 simple,Manuelle, 29.0000 DA 
Lada, Niva,1988.0,,GPL,,Manuelle, 29.0000 DA 
Fiat, 500 Hybride,2023.0,100km,Essence,Essence,Manuelle, 29.0000 DA 
Daewoo, Nubira coupe,1998.0,30km,Essence,1.6 ess 106ch,Manuelle, 29.0000 DA 
Peugeot,305,1985.0,22222km,Essence,1.5 ess 74ch,Manuelle, 29.0000 DA 
Renault,5,1983.0,300km,Essence,1.1 ess 45ch,Manuelle, 29.0000 DA 
Renault,4,1983.0,,Essence,1.1 ess 34ch,Manuelle, 29.0000 DA 
Peugeot,405,1989.0,1111111111km,GPL,Bx,Manuelle, 29.0000 DA 
Ford, Fiesta,1999.0,,,,, 29.0000 DA 
Volkswagen, Polo,1990.0,,,,, 29.0000 DA 
Renault,19,1995.0,350000km,Diesel,1.9 DT 93ch,Manuelle, 30.0000 DA 
FOTON, Wiling,2011.0,,,,, 30.0000 DA 
Renault, Express,1996.0,85652km,Essence,1.4 ess 80ch,Manuelle, 30.0000 DA 
Peugeot,3008  Premium,2015.0,290000km,Diesel,2.0 HDI 163ch BVA,Manuelle, 30.0000 DA 
Fiat, Seicento,2000.0,149000km,Essence,1.1 ess 54ch,Manuelle, 30.0000 DA 
Renault, Scenic,2004.0,300000km,Diesel,1.9 DCI 120ch,Manuelle, 30.0000 DA 
Volkswagen,1  Golf,1981.0,333km,,,Manuelle, 30.0000 DA 
Renault,2  4 Clio Limited,2019.0,75km,Diesel,1.5 DCI 85ch,Manuelle, 30.0000 DA 
Peugeot,207,2008.0,000km,Essence,1.4 ess 75ch,Manuelle, 30.0000 DA 
Fiat, Uno,1989.0,382200km,Essence,1.4 ess 71ch,Manuelle, 30.0000 DA 
Alfa, 33 Romeo,1990.0,999999km,Essence,1.4 ess 88ch,Manuelle, 30.0000 DA 
Volkswagen,1.6d  Polo,1993.0,1111km,Diesel,1.6 DIESSEL,Manuelle, 30.0000 DA 
Renault,19  Chamade,1993.0,360000km,Diesel,1.9 simple,Manuelle, 30.0000 DA 
Hyundai, i20,2018.0,90000km,Essence,1.4 ess 100ch BVA,Automatique, 30.0000 DA 
Kia, Carens,2006.0,,Diesel,,Manuelle, 30.0000 DA 
Opel, Ascona,1973.0,,Essence,1.6 ess 80ch,Manuelle, 30.0000 DA 
Renault, R4,1970.0,,Essence,GTL,Manuelle, 30.0000 DA 
Daewoo, Espero,1990.0,,Essence,Cialo,Manuelle, 30.0000 DA 
Faw, Xiali,2006.0,258000km,Essence,1.1,Manuelle, 30.0000 DA 
Renault, KANGOO,2023.0,0km,Diesel,1.5dci,Manuelle, 30.0000 DA 
Volkswagen, Gol,2005.0,,Essence,1.6 ess,, 30.0000 DA 
Peugeot,305,1984.0,27km,Essence,1.5 ess 74ch,Manuelle, 30.0000 DA 
Dacia, Stepway,2023.0,13km,Diesel,1.5,Manuelle, 30.0000 DA 
Toyota, Active Touch Yaris,2015.0,50000km,Diesel,1.4 D4D 90ch,Automatique, 30.0000 DA 
Nissan, Sunny,1994.0,,Diesel,,Manuelle, 30.0000 DA 
Mercedes, Classe S,1987.0,00km,Diesel,6.c,Manuelle, 30.0000 DA 
R4,,1984.0,33333km,Essence,Gtl,Manuelle, 30.0000 DA 
Lifan,,,1447080km,Essence,,Manuelle, 30.0000 DA 
Renault, 800 Van estafette,1970.0,4444km,Essence,,Manuelle, 30.0000 DA 
Fiat, Tipo,1994.0,10000km,Diesel,1.9 D 65ch,Manuelle, 30.0000 DA 
Daewoo, Cielo,1998.0,,GPL,1.5 ess 75ch,, 30.0000 DA 
Peugeot,404,1981.0,300088888km,Essence,10,Manuelle, 30.0000 DA 
Renault, 4 Gtl,1968.0,,Essence,Gtl,Manuelle, 30.0000 DA 
Renault, R4 gtl,1968.0,,Essence,Gtl,Manuelle, 30.0000 DA 
Peugeot,404,1987.0,99999km,Essence,La 11,Manuelle, 30.0000 DA 
BYD, Flyer,2007.0,,Essence,0.8,Manuelle, 30.0000 DA 
Citroen, 2 Acadiane cv,1985.0,,Essence,0.6 ess 29ch,Manuelle, 30.0000 DA 
Seat, Facelift Ibiza Style,2017.0,48000km,Essence,1.6 MPi 110 ch,Manuelle, 30.0000 DA 
Peugeot,304,1975.0,,Essence,,Manuelle, 30.0000 DA 
Suzuki, Alto,2023.0,0km,Essence,,Manuelle, 30.0000 DA 
Renault, F4 R4,1984.0,0000000km,Essence,GTL,Manuelle, 30.0000 DA 
Seat, Fr Ibiza,2014.0,00km,Diesel,1.6 TDI 105ch,Manuelle, 30.0000 DA 
Daewoo, Racer,1993.0,1111111km,Essence,1.6 ess ch,Manuelle, 30.0000 DA 
Volkswagen, 7 GTD Golf,2019.0,105000km,Diesel,2.0 TDI 177ch DSG6,Automatique, 30.0000 DA 
Renault,2  Clio,2001.0,111111km,Diesel,1.5 DCI 65ch,Manuelle, 30.0000 DA 
Daewoo, Matiz,2000.0,,Essence,,Manuelle, 30.0000 DA 
Mercedes, Classe E,2012.0,,Diesel,250 CDI BlueEfficiency 211,Automatique, 30.0000 DA 
Renault,1  clio,1997.0,111111111km,Diesel,1.9 D,Manuelle, 30.0000 DA 
Sym, Tonic machya,2023.0,3800km,Essence,,Automatique, 30.0000 DA 
Renault,21,1990.0,220000km,Essence,1.9,Manuelle, 30.0000 DA 
Seat, Leon,2015.0,261km,,2.0 TDI 143ch,, 30.0000 DA 
Renault, Express,1993.0,55555km,Diesel,1.9 D 55ch,Manuelle, 30.0000 DA 
Renault, r4,1985.0,,Essence,GTL,Manuelle, 30.0000 DA 
Renault,21,1989.0,11111111km,Diesel,2.1 TD 88ch,, 30.0000 DA 
Renault,21,1989.0,11111km,Diesel,2.3,Manuelle, 30.0000 DA 
Renault,4,1984.0,000000km,Essence,1.1 ess 34ch,Manuelle, 30.0000 DA 
Saab,93,2002.0,500000km,Diesel,2.2,Manuelle, 30.0000 DA 
Hyundai, Accent GLS,2015.0,214000km,GPL,1.5 ess 91ch BVA,Manuelle, 30.0000 DA 
Skoda, Favorit,1993.0,5555555555km,Essence,,Manuelle, 30.0000 DA 
Peugeot,405,1988.0,,GPL,1.8 ess BX,Manuelle, 30.0000 DA 
Renault, Express,1993.0,,,,Manuelle, 30.0000 DA 
Smart, 2p,2003.0,120000km,Essence,0.1,Manuelle, 30.0000 DA 
Renault, 3 Megane,2012.0,265km,Diesel,,Manuelle, 30.0000 DA 
Seat, Marbella,1994.0,,Essence,45,Manuelle, 30.0000 DA 
Volkswagen, 2 Golf,1990.0,2222km,Essence,1.3 ess 55ch,Manuelle, 30.0000 DA 
Peugeot,305,1983.0,9999999km,Essence,,Manuelle, 30.0000 DA 
Volkswagen, Polo,1990.0,66333639km,Essence,1,, 30.0000 DA 
Toyota, Corola,1993.0,00000km,Essence,1.3 12v,Manuelle, 30.0000 DA 
Mercedes, Classe E,1996.0,,,,, 30.0000 DA 
Renault, Express,1991.0,000km,Essence,1.9 D 55ch,Manuelle, 30.0000 DA 
Peugeot,305,1988.0,00000km,GPL,1.6 ess 80ch,Manuelle, 30.0000 DA 
Faw, Faw Xiali,2006.0,20000km,Essence,3 cylinder,Manuelle, 30.0000 DA 
Renault,19,1994.0,,Diesel,,Manuelle, 30.0000 DA 
Renault, 2 R4,1989.0,70000km,Essence,Gtl,Manuelle, 30.0000 DA 
Faw, N5,2006.0,,,,, 30.0000 DA 
Chevrolet, Captiva,2010.0,,,,, 30.0000 DA 
Chevrolet, Captiva LT,2010.0,,,,, 30.0000 DA 
Peugeot,404,1971.0,,,,, 30.0000 DA 
Renault, Campus Clio,2009.0,,,,, 30.0000 DA 
Renault,4,1971.0,,,,, 30.0000 DA 
Audi,80,1995.0,,,,, 30.0000 DA 
Nissan, Primera,2003.0,,,,, 30.0000 DA 
Renault, 2 Clio,1998.0,,,,, 30.0000 DA 
Nissan, Sunny,1990.0,,,,, 30.0000 DA 
Peugeot,306,2001.0,,,,, 30.0000 DA 
Fiat, Uno,1991.0,,,,, 30.0000 DA 
Ford, 4 Focus portes,2002.0,,,,, 30.0000 DA 
Fiat, Fiorino,1991.0,,,,, 30.0000 DA 
Geely, S5 Sedan,2000.0,,,,, 30.0000 DA 
Opel, Kadett,1990.0,,,,, 30.0000 DA 
Kia, prite,1999.0,,,,, 30.0000 DA 
Peugeot,404,1973.0,,,,, 30.0000 DA 
Hyundai, GLS i10,2019.0,20000km,Essence,1,, 31.0000 DA 
Renault, F6 R4,1984.0,111441km,Essence,Gtl,Manuelle, 31.0000 DA 
Brilliance, Geely Xiali hq,2005.0,291000km,Essence,1.1,Manuelle, 31.0000 DA 
Renault,21,1987.0,0000km,GPL,1,, 31.0000 DA 
