brand,model,year,kilometer,engine,transmission,fuel,nb_of_doors,price
Toyota,RAV4 XLE,2013,"105,289",176 hp 2.5L I4,6-Speed Automatic,Gasoline,4 doors,"$13,200"
Toyota,Camry SE,2017,"89,111",178 hp 2.5L I4,6-Speed Automatic,Gasoline,4 doors,"$14,950"
Toyota,Corolla Cross LE FWD,2023,"14,548",2L I4,Continuously Variable Transmission,Gasoline,4 doors,"$22,799"
Toyota,Tacoma TRD Off Road Double Cab 4WD,2019,"36,821",278 hp 3.5L V6,6-Speed Automatic,Gasoline,4 doors,"$36,835"
Toyota,Corolla LE,2010,"138,968",132 hp 1.8L I4,4-Speed Automatic Overdrive,Gasoline,4 doors,"$6,999"
Toyota,Tacoma SR V6 Double Cab 4WD,2022,"11,097",278 hp 3.5L V6,Automatic,Gasoline,4 doors,"$37,999"
Toyota,Tundra TRD Pro CrewMax 5.7L 4WD,2017,"109,197",381 hp 5.7L V8,Automatic,Gasoline,4 doors,"$29,995"
Toyota,RAV4 Hybrid LE AWD,2019,"76,022",2.5L I4 Hybrid,Continuously Variable Transmission,Hybrid,4 doors,"$20,998"
Toyota,RAV4 Hybrid XLE AWD,2022,"50,429",2.5L I4 Hybrid,Continuously Variable Transmission,Hybrid,4 doors,"$25,944"
Toyota,RAV4 Limited AWD,2013,"199,495",176 hp 2.5L I4,6-Speed Automatic,Gasoline,4 doors,"$9,921"
Toyota,Tacoma TRD Sport Double Cab 4WD,2022,"20,362",278 hp 3.5L V6,6-Speed Automatic,Gasoline,4 doors,"$39,759"
Toyota,Tacoma TRD Pro Double Cab 4WD,2019,"35,130",278 hp 3.5L V6,Automatic,Gasoline,4 doors,"$41,993"
Toyota,Tundra Limited CrewMax RWD,2020,"97,872",381 hp 5.7L V8,6-Speed Automatic Overdrive,Gasoline,4 doors,"$35,319"
Toyota,Corolla LE,2019,"117,677",132 hp 1.8L I4,Continuously Variable Transmission,Gasoline,4 doors,"$12,325"
Toyota,Camry SE FWD,2021,"65,026",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$17,687"
Toyota,RAV4 Hybrid XLE AWD,2017,"79,423",2.5L I4 Hybrid,Continuously Variable Transmission,Hybrid,4 doors,"$17,495"
Toyota,Camry SE Nightshade FWD,2023,"3,923",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$27,998"
Toyota,Camry Hybrid SE FWD,2022,"26,146",2.5L I4 Hybrid,Continuously Variable Transmission,Hybrid,4 doors,"$28,695"
Toyota,RAV4 LE AWD,2023,"22,993",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$27,488"
Toyota,RAV4 LE FWD,2023,"34,699",2.5L I4,Automatic,Gasoline,4 doors,"$24,189"
Toyota,RAV4 Hybrid Limited AWD,2020,"42,857",2.5L I4 Hybrid,Continuously Variable Transmission,Hybrid,4 doors,"$31,700"
Toyota,Supra 3.0 RWD,2020,"16,750",3L I6,8-Speed Automatic,Gasoline,2 doors,"$48,999"
Toyota,Tacoma TRD Sport Double Cab 4WD,2021,"81,910",278 hp 3.5L V6,6-Speed Automatic,Gasoline,4 doors,"$35,000"
Toyota,Corolla LE FWD,2022,"30,784",1.8L I4,Continuously Variable Transmission,Gasoline,4 doors,"$19,949"
Toyota,Camry XLE V6 FWD,2020,"75,352",3.5L V6,8-Speed Automatic,Gasoline,4 doors,"$24,287"
Toyota,4Runner SR5 4WD,2022,"43,518",270 hp 4L V6,5-Speed Automatic,Gasoline,4 doors,"$33,849"
Toyota,Tacoma TRD Off Road Double Cab LB 4WD,2020,"100,913",278 hp 3.5L V6,Automatic,Gasoline,4 doors,"$27,997"
Toyota,Tacoma TRD Sport Double Cab 4WD,2021,"34,230",278 hp 3.5L V6,6-Speed Automatic,Gasoline,4 doors,"$37,320"
Toyota,Corolla Cross LE FWD,2023,"21,737",2L I4,Continuously Variable Transmission,Gasoline,4 doors,"$24,966"
Toyota,Tacoma SR5 V6 Double Cab 4WD,2022,"28,001",278 hp 3.5L V6,6-Speed Automatic,Gasoline,4 doors,"$35,977"
Toyota,Tacoma Regular Cab,2010,"174,394",159 hp 2.7L I4,4-Speed Automatic,Gasoline,2 doors,"$7,497"
Toyota,Corolla LE FWD,2020,"89,967",1.8L I4,Continuously Variable Transmission,Gasoline,4 doors,"$15,990"
Toyota,RAV4 XLE AWD,2022,"41,582",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$27,999"
Toyota,RAV4 TRD Off-Road AWD,2022,"26,984",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$37,472"
Toyota,Camry SE FWD,2022,"87,829",2.5L I4,8-Speed Automatic,Gasoline,4 doors,"$18,500"
Toyota,Tacoma Limited Double Cab 4WD,2020,"53,466",278 hp 3.5L V6,6-Speed Automatic,Gasoline,4 doors,"$35,682"
Toyota,Prius Prime Premium FWD,2019,"78,339",1.8L I4 Hybrid,Continuously Variable Transmission,Hybrid,4 doors,"$21,994"
