brand,model,engine,nb of doors,year,transmission,price,fuel,kilometer
Dodge,Durango Crew AWD,360 hp 5.7L V8,4 doors,2011,5-Speed Automatic,"$8,000",Gasoline,"164,373 mi"
Dodge,Charger SE RWD,292 hp 3.6L V6,4 doors,2011,5-Speed Automatic,"$5,599",Gasoline,"158,842 mi"
Dodge,RAM 2500 SLT Quad Cab RWD,345 hp 5.7L V8,4 doors,2006,5-Speed Automatic,"$14,990",Gasoline,"105,282 mi"
Dodge,Challenger R/T Plus RWD,372 hp 5.7L V8,2 doors,2012,5-Speed Automatic,"$19,999",Gasoline,"55,477 mi"
Dodge,RAM 1500 SLT Quad Cab 4WD,5.7L V8,4 doors,2004,5-Speed Automatic,"$6,800",Gasoline,"137,214 mi"
Dodge,Challenger SXT RWD,305 hp 3.6L V6,2 doors,2013,5-Speed Automatic,"$14,850",Gasoline,"85,914 mi"
Dodge,RAM 1500 SLT Quad Cab 4WD,390 hp 5.7L V8,4 doors,2010,5-Speed Automatic,"$5,982",Gasoline,"204,221 mi"
Dodge,Challenger SXT Plus RWD,305 hp 3.6L V6,2 doors,2013,5-Speed Automatic,"$12,950",Gasoline,"107,962 mi"
Dodge,Challenger R/T RWD,372 hp 5.7L V8,2 doors,2012,5-Speed Automatic,"$17,563",Gasoline,"87,628 mi"
Dodge,Challenger R/T 100th Anniversary RWD,375 hp 5.7L V8,2 doors,2014,5-Speed Automatic,"$16,992",Gasoline,"100,248 mi"
Dodge,RAM 1500 SLT RWD,390 hp 5.7L V8,2 doors,2010,5-Speed Automatic,"$10,995",Gasoline,"119,094 mi"
Dodge,Charger SRT8 RWD,425 hp 6.1L V8,4 doors,2007,5-Speed Automatic,"$14,990",Gasoline,"96,484 mi"
Dodge,RAM 1500 SLT Crew Cab 4WD,390 hp 5.7L V8,4 doors,2009,5-Speed Automatic,"$12,995",Gasoline,"48,882 mi"
Dodge,Challenger R/T RWD,372 hp 5.7L V8,2 doors,2010,5-Speed Automatic,"$14,777",Gasoline,"96,986 mi"
Dodge,RAM 1500 Sport Quad Cab 4WD,390 hp 5.7L V8,4 doors,2010,5-Speed Automatic,"$15,000",Gasoline,"93,156 mi"
Dodge,RAM 1500 SLT Quad Cab 4WD,390 hp 5.7L V8,4 doors,2010,5-Speed Automatic,"$7,357",Gasoline,"131,429 mi"
Dodge,RAM 2500 Laramie Mega Cab 4WD,383 hp 5.7L V8,4 doors,2009,5-Speed Automatic,"$13,995",Gasoline,"190,528 mi"
Dodge,Durango SLT RWD,230 hp 4.7L V8,4 doors,2005,5-Speed Automatic,"$5,450",Gasoline,"139,167 mi"
Dodge,RAM 2500 SLT Quad Cab 4WD,5.9L I6 Diesel,4 doors,2006,5-Speed Automatic,"$14,500",Diesel,"210,065 mi"
Dodge,RAM 1500 SLT Quad Cab RWD,345 hp 5.7L V8,4 doors,2008,5-Speed Automatic,"$10,938",Gasoline,"119,723 mi"
Dodge,RAM 1500 SLT Mega Cab 4WD,345 hp 5.7L V8,4 doors,2006,5-Speed Automatic,"$11,797",Gasoline,"89,332 mi"
Dodge,Challenger SRT8 RWD,470 hp 6.4L V8,2 doors,2014,5-Speed Automatic,"$27,495",Gasoline,"47,801 mi"
Dodge,RAM 2500 SLT Quad Cab 4WD,345 hp 5.7L V8,4 doors,2005,5-Speed Automatic,"$14,995",Gasoline,"98,248 mi"
Dodge,Durango Crew AWD,360 hp 5.7L V8,4 doors,2011,5-Speed Automatic Overdrive,"$11,995",Gasoline,"96,823 mi"
Dodge,Challenger R/T RWD,372 hp 5.7L V8,2 doors,2009,5-Speed Automatic Overdrive,"$10,500",Gasoline,"95,291 mi"
Dodge,Challenger SRT8 RWD,425 hp 6.1L V8,2 doors,2009,5-Speed Automatic Overdrive,"$17,777",Gasoline,"85,190 mi"
Dodge,Challenger R/T RWD,372 hp 5.7L V8,2 doors,2009,5-Speed Automatic Overdrive,"$9,999",Gasoline,"117,266 mi"
Dodge,RAM 1500 Laramie Quad Cab RWD,345 hp 5.7L V8,4 doors,2008,5-Speed Automatic Overdrive,"$11,657",Gasoline,"105,175 mi"
Dodge,Grand Caravan American Value Package FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2016,6-Speed Automatic,"$5,700",Flex Fuel Vehicle,"132,300 mi"
Dodge,Grand Caravan SE FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2016,6-Speed Automatic,"$15,995",Flex Fuel Vehicle,"39,050 mi"
Dodge,Journey SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2017,6-Speed Automatic,"$6,888",Flex Fuel Vehicle,"133,354 mi"
Dodge,Grand Caravan SE Plus FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$11,995",Flex Fuel Vehicle,"109,827 mi"
Dodge,Grand Caravan GT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$14,500",Flex Fuel Vehicle,"114,040 mi"
Dodge,Grand Caravan Crew FWD,283 hp 3.6L V6,4 doors,2013,6-Speed Automatic,"$4,900",Gasoline,"181,500 mi"
Dodge,Grand Caravan GT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$14,975",Flex Fuel Vehicle,"96,873 mi"
Dodge,Grand Caravan SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2016,6-Speed Automatic,"$8,495",Flex Fuel Vehicle,"107,741 mi"
Dodge,Dart SXT FWD,184 hp 2.4L I4,4 doors,2014,6-Speed Automatic,"$6,500",Gasoline,"100,883 mi"
Dodge,Grand Caravan SE Plus FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2016,6-Speed Automatic,"$10,990",Flex Fuel Vehicle,"97,982 mi"
Dodge,Journey SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2014,6-Speed Automatic,"$6,400",Flex Fuel Vehicle,"123,393 mi"
Dodge,Grand Caravan SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$13,995",Flex Fuel Vehicle,"92,410 mi"
Dodge,Avenger R/T FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2014,6-Speed Automatic,"$8,985",Flex Fuel Vehicle,"95,130 mi"
Dodge,Dart SE FWD,160 hp 2L I4 Flex Fuel Vehicle,4 doors,2016,6-Speed Automatic,"$10,995",Flex Fuel Vehicle,"91,346 mi"
Dodge,Dart SXT FWD,180 hp 2.4L I4,4 doors,2015,6-Speed Automatic,"$10,995",Gasoline,"51,662 mi"
Dodge,Grand Caravan SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2017,6-Speed Automatic,"$10,995",Flex Fuel Vehicle,"111,562 mi"
Dodge,Grand Caravan GT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$16,000",Flex Fuel Vehicle,"70,921 mi"
Dodge,Journey Crossroad AWD,283 hp 3.6L V6,4 doors,2017,6-Speed Automatic,"$7,068",Gasoline,"153,068 mi"
Dodge,Journey GT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2018,6-Speed Automatic,"$8,888",Flex Fuel Vehicle,"124,754 mi"
Dodge,Journey Crossroad AWD,283 hp 3.6L V6,4 doors,2018,6-Speed Automatic,"$14,997",Gasoline,"71,859 mi"
Dodge,Grand Caravan GT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$15,990",Flex Fuel Vehicle,"64,509 mi"
Dodge,Grand Caravan SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$11,550",Flex Fuel Vehicle,"95,785 mi"
Dodge,Avenger SE FWD,173 hp 2.4L I4,4 doors,2014,6-Speed Automatic,"$6,200",Gasoline,"152,029 mi"
Dodge,Journey Crossroad Plus AWD,283 hp 3.6L V6,4 doors,2017,6-Speed Automatic,"$6,995",Gasoline,"172,136 mi"
Dodge,Grand Caravan American Value Package FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2015,6-Speed Automatic,"$8,980",Flex Fuel Vehicle,"99,520 mi"
Dodge,Dart SXT FWD,160 hp 2L I4 Flex Fuel Vehicle,4 doors,2016,6-Speed Automatic,"$8,450",Flex Fuel Vehicle,"77,396 mi"
Dodge,Journey SXT AWD,283 hp 3.6L V6,4 doors,2013,6-Speed Automatic,"$5,988",Gasoline,"158,568 mi"
Dodge,Journey Crossroad AWD,283 hp 3.6L V6,4 doors,2018,6-Speed Automatic,"$14,991",Gasoline,"71,206 mi"
Dodge,Dart SE FWD,160 hp 2L I4 Flex Fuel Vehicle,4 doors,2016,6-Speed Automatic,"$8,767",Flex Fuel Vehicle,"103,014 mi"
Dodge,Journey Crossroad AWD,283 hp 3.6L V6,4 doors,2016,6-Speed Automatic,"$10,900",Gasoline,"82,741 mi"
Dodge,Journey Crew FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2013,6-Speed Automatic,"$6,105",Flex Fuel Vehicle,"128,570 mi"
Dodge,Grand Caravan GT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2017,6-Speed Automatic,"$10,999",Flex Fuel Vehicle,"116,270 mi"
Dodge,Dart Rallye FWD,160 hp 2L I4,4 doors,2013,6-Speed Automatic,"$7,499",Gasoline,"79,208 mi"
Dodge,Journey Crossroad FWD,283 hp 3.6L V6,4 doors,2019,6-Speed Automatic,"$15,995",Gasoline,"70,563 mi"
Dodge,Grand Caravan American Value Package FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2016,6-Speed Automatic,"$10,500",Flex Fuel Vehicle,"114,487 mi"
Dodge,Journey GT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2018,6-Speed Automatic,"$12,994",Flex Fuel Vehicle,"76,943 mi"
Dodge,Grand Caravan SXT 30th Anniversary FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2014,6-Speed Automatic,"$9,100",Flex Fuel Vehicle,"122,281 mi"
Dodge,Journey SE AWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2015,6-Speed Automatic,"$10,995",Flex Fuel Vehicle,"47,325 mi"
Dodge,Grand Caravan SE Plus FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2018,6-Speed Automatic,"$14,999",Flex Fuel Vehicle,"65,857 mi"
Dodge,Grand Caravan SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$13,650",Flex Fuel Vehicle,"97,697 mi"
Dodge,Grand Caravan SE FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2018,6-Speed Automatic,"$12,595",Flex Fuel Vehicle,"98,297 mi"
Dodge,Journey Crossroad AWD,283 hp 3.6L V6,4 doors,2017,6-Speed Automatic,"$12,495",Gasoline,"83,391 mi"
Dodge,Journey SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2017,6-Speed Automatic,"$9,885",Flex Fuel Vehicle,"67,525 mi"
Dodge,Grand Caravan SE FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2016,6-Speed Automatic,"$6,775",Flex Fuel Vehicle,"143,762 mi"
Dodge,Grand Caravan SE FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2016,6-Speed Automatic,"$12,382",Flex Fuel Vehicle,"83,375 mi"
Dodge,Journey Crossroad FWD,283 hp 3.6L V6,4 doors,2019,6-Speed Automatic,"$13,179",Gasoline,"71,312 mi"
Dodge,Journey GT AWD,283 hp 3.6L V6,4 doors,2019,6-Speed Automatic,"$17,871",Gasoline,"57,777 mi"
Dodge,Journey Crossroad FWD,283 hp 3.6L V6,4 doors,2019,6-Speed Automatic,"$8,900",Gasoline,"124,884 mi"
Dodge,Dart SXT FWD,180 hp 2.4L I4,4 doors,2015,6-Speed Automatic,"$6,950",Gasoline,"133,271 mi"
Dodge,Journey SXT AWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2015,6-Speed Automatic,"$9,995",Flex Fuel Vehicle,"66,000 mi"
Dodge,Grand Caravan GT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2018,6-Speed Automatic,"$9,900",Flex Fuel Vehicle,"105,697 mi"
Dodge,Dart SE FWD,160 hp 2L I4 Flex Fuel Vehicle,4 doors,2016,6-Speed Automatic,"$8,990",Flex Fuel Vehicle,"53,319 mi"
Dodge,Journey GT FWD,283 hp 3.6L V6,4 doors,2019,6-Speed Automatic,"$15,500",Gasoline,"62,676 mi"
Dodge,Journey SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2012,6-Speed Automatic,"$6,951",Flex Fuel Vehicle,"118,413 mi"
Dodge,Grand Caravan GT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2018,6-Speed Automatic,"$10,490",Flex Fuel Vehicle,"120,499 mi"
Dodge,Grand Caravan SE Plus FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2018,6-Speed Automatic,"$13,737",Flex Fuel Vehicle,"93,353 mi"
Dodge,Dart SXT Sport FWD,160 hp 2L I4 Flex Fuel Vehicle,4 doors,2016,6-Speed Automatic,"$8,995",Flex Fuel Vehicle,"65,556 mi"
Dodge,Journey GT AWD,283 hp 3.6L V6,4 doors,2018,6-Speed Automatic,"$6,999",Gasoline,"161,960 mi"
Dodge,Grand Caravan SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2018,6-Speed Automatic,"$11,588",Flex Fuel Vehicle,"122,989 mi"
Dodge,Grand Caravan GT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$15,888",Flex Fuel Vehicle,"77,826 mi"
Dodge,Grand Caravan GT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$16,490",Flex Fuel Vehicle,"77,734 mi"
Dodge,Journey SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2012,6-Speed Automatic,"$7,000",Flex Fuel Vehicle,"104,585 mi"
Dodge,Grand Caravan GT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$14,993",Flex Fuel Vehicle,"101,530 mi"
Dodge,Grand Caravan SE FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2015,6-Speed Automatic,"$8,995",Flex Fuel Vehicle,"99,008 mi"
Dodge,Journey GT AWD,283 hp 3.6L V6,4 doors,2017,6-Speed Automatic,"$10,995",Gasoline,"115,000 mi"
Dodge,Dart SXT FWD,184 hp 2.4L I4,4 doors,2016,6-Speed Automatic,"$6,916",Gasoline,"128,661 mi"
Dodge,Journey SXT AWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2015,6-Speed Automatic,"$7,994",Flex Fuel Vehicle,"116,285 mi"
Dodge,Grand Caravan GT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$13,587",Flex Fuel Vehicle,"91,879 mi"
Dodge,Journey SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2018,6-Speed Automatic,"$12,600",Flex Fuel Vehicle,"85,304 mi"
Dodge,Journey R/T AWD,283 hp 3.6L V6,4 doors,2016,6-Speed Automatic,"$9,995",Gasoline,"102,552 mi"
Dodge,Grand Caravan SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$11,995",Flex Fuel Vehicle,"103,359 mi"
Dodge,Grand Caravan SE FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$15,788",Flex Fuel Vehicle,"71,327 mi"
Dodge,Grand Caravan GT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2020,6-Speed Automatic,"$16,499",Flex Fuel Vehicle,"77,915 mi"
Dodge,Grand Caravan SXT Plus FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2015,6-Speed Automatic,"$7,450",Flex Fuel Vehicle,"144,800 mi"
Dodge,Avenger SE FWD,173 hp 2.4L I4,4 doors,2012,6-Speed Automatic,"$3,850",Gasoline,"120,558 mi"
Dodge,Grand Caravan SE FWD,283 hp 3.6L V6,4 doors,2013,6-Speed Automatic,"$6,995",Gasoline,"142,534 mi"
Dodge,Grand Caravan SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$17,995",Flex Fuel Vehicle,"56,667 mi"
Dodge,Grand Caravan SE Plus FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2016,6-Speed Automatic,"$7,999",Flex Fuel Vehicle,"134,000 mi"
Dodge,Avenger Mainstreet FWD,173 hp 2.4L I4,4 doors,2011,6-Speed Automatic,"$6,558",Gasoline,"96,981 mi"
Dodge,Dart SXT FWD,160 hp 2L I4,4 doors,2013,6-Speed Automatic,"$7,820",Gasoline,"115,470 mi"
Dodge,Grand Caravan SXT FWD,283 hp 3.6L V6,4 doors,2013,6-Speed Automatic,"$8,868",Gasoline,"93,691 mi"
Dodge,Grand Caravan SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$20,000",Flex Fuel Vehicle,"39,470 mi"
Dodge,Grand Caravan SE FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$16,995",Flex Fuel Vehicle,"69,535 mi"
Dodge,Grand Caravan SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2017,6-Speed Automatic,"$7,651",Flex Fuel Vehicle,"144,221 mi"
Dodge,Grand Caravan SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2016,6-Speed Automatic,"$9,995",Flex Fuel Vehicle,"106,462 mi"
Dodge,Grand Caravan SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2015,6-Speed Automatic,"$8,665",Flex Fuel Vehicle,"126,443 mi"
Dodge,Grand Caravan SE FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2017,6-Speed Automatic,"$17,995",Flex Fuel Vehicle,"22,232 mi"
Dodge,Grand Caravan SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2018,6-Speed Automatic,"$14,838",Flex Fuel Vehicle,"84,285 mi"
Dodge,Grand Caravan American Value Package FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2012,6-Speed Automatic,"$5,950",Flex Fuel Vehicle,"131,000 mi"
Dodge,Grand Caravan SE FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$16,990",Flex Fuel Vehicle,"62,206 mi"
Dodge,Grand Caravan Crew FWD,283 hp 3.6L V6,4 doors,2013,6-Speed Automatic,"$6,900",Gasoline,"138,000 mi"
Dodge,Grand Caravan SE FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$15,895",Flex Fuel Vehicle,"61,624 mi"
Dodge,Grand Caravan American Value Package FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2016,6-Speed Automatic,"$9,988",Flex Fuel Vehicle,"100,486 mi"
Dodge,Grand Caravan SE FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2019,6-Speed Automatic,"$12,103",Flex Fuel Vehicle,"89,012 mi"
Dodge,Journey GT AWD,283 hp 3.6L V6,4 doors,2019,6-Speed Automatic,"$13,986",Gasoline,"84,014 mi"
Dodge,Grand Caravan American Value Package FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2015,6-Speed Automatic,"$2,999",Flex Fuel Vehicle,"174,210 mi"
Dodge,Dart SE FWD,160 hp 2L I4 Flex Fuel Vehicle,4 doors,2015,6-Speed Automatic,"$6,499",Flex Fuel Vehicle,"92,248 mi"
Dodge,RAM 2500 SLT Quad Cab 4WD,350 hp 6.7L I6 Diesel,4 doors,2008,6-Speed Automatic,"$19,000",Diesel,"121,500 mi"
Dodge,RAM 2500 SXT Mega Cab 4WD,350 hp 6.7L I6 Diesel,4 doors,2008,6-Speed Automatic,"$14,950",Diesel,"204,935 mi"
Dodge,Grand Caravan SE FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2014,6-Speed Automatic,"$12,995",Flex Fuel Vehicle,"45,319 mi"
Dodge,RAM 2500 SLT Quad Cab 4WD,350 hp 6.7L I6 Diesel,4 doors,2007,6-Speed Automatic,"$18,998",Diesel,"160,340 mi"
Dodge,Grand Caravan R/T FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2016,6-Speed Automatic,"$8,999",Flex Fuel Vehicle,"109,084 mi"
Dodge,Grand Caravan SXT FWD,283 hp 3.6L V6 Flex Fuel Vehicle,4 doors,2016,6-Speed Automatic,"$9,995",Flex Fuel Vehicle,"129,000 mi"
